Cluster	ID	RA (J2000)	Dec. (J2000)	P	φ0	〈J〉	〈H〉	〈Ks〉	ΔJ	ΔH	ΔKs	Nobs	Flag
NGC 6256 	V1 	16:59:35.0 	-37:07:23 	12.447 	53004.719 	11.86 	11.15 	10.85 	0.73 	0.60 	0.59 	30* 	n 
NGC 6266 	V2 	17:01:11.0 	-30:07:59 	10.609 	53009.157 	11.22 	10.64 	10.53 	0.76 	0.63 	0.60 	28* 	 
NGC 6273 	V1 	17:02:38.2 	-26:15:12 	16.92 	53013.006 	11.37 	10.88 	10.75 	0.76 	0.72 	0.71 	17 	 
NGC 6273 	V2 	17:02:38.9 	-26:13:57 	14.138 	53013.840 	11.53 	11.06 	10.92 	0.82 	0.74 	0.72 	17 	 
NGC 6273 	V4 	17:02:37.6 	-26:16:32 	2.4326 	53000.138 	13.28 	12.85 	12.77 	0.49 	0.47 	0.47 	17 	 
NGC 6284 	V1 	17:04:26.9 	-24:45:22 	4.4812 	53001.750 	13.68 	13.24 	13.18 	0.38 	0.41 	0.43 	24 	 
NGC 6284 	V4 	17:04:30.3 	-24:46:14 	2.8187 	53000.533 	14.15 	13.71 	13.67 	0.64 	0.52 	0.56 	24 	 
NGC 6293 	V2 	17:09:59.8 	-26:33:56 	1.1817 	53000.392 	14.26 	13.81 	13.71 	0.34 	0.25 	0.47 	16 	 
NGC 6325 	V1 	17:18:02.5 	-23:45:45 	12.516 	53003.662 	11.97 	11.25 	11.02 	0.34 	0.36 	0.36 	24* 	n 
NGC 6325 	V2 	17:17:57.8 	-23:46:36 	10.744 	53006.200 	12.14 	11.43 	11.22 	0.24 	0.26 	0.24 	24 	n 
HP 1 	V16 	17:31:08.7 	-30:00:22 	16.4 	53008.704 	11.77 	10.99 	10.70 	0.85 	0.81 	0.79 	16 	n 
HP 1 	V17 	17:31:05.7 	-29:59:26 	14.42 	53004.212 	11.91 	11.09 	10.78 	0.67 	0.59 	0.61 	16 	n 
Terzan 1 	V5 	17:35:46.1 	-30:29:03 	18.85 	53012.467 	11.97 	10.93 	10.61 	0.78 	0.72 	0.70 	22 	n 
NGC 6402 	V1 	17:37:37.4 	-03:14:00 	18.743 	53009.449 	11.63 	11.10 	10.89 	0.85 	0.80 	0.79 	10 	 
NGC 6402 	V2 	17:37:28.6 	-03:16:45 	2.7947 	53000.084 	13.45 	12.98 	12.85 	0.52 	0.52 	0.54 	10 	 
NGC 6402 	V7 	17:37:40.4 	-03:16:21 	13.599 	53012.541 	12.04 	11.46 	11.29 	0.62 	0.56 	0.55 	10 	 
NGC 6402 	V76 	17:37:29.3 	-03:14:45 	1.8901 	53001.785 	13.78 	13.30 	13.16 	0.36 	0.30 	0.38 	10 	 
NGC 6441 	V6 	17:50:15.6 	-37:02:16 	22.47 	53010.927 	12.16 	11.64 	11.49 	0.93 	0.99 	0.97 	16 	 
NGC 6441 	V129 	17:50:12.9 	-37:03:18 	17.832 	53001.523 	12.14 	11.61 	11.65 	0.50 	0.80 	0.81 	16* 	 
NGC 6453 	V1 	17:50:52.1 	-34:36:05 	31.07 	53023.985 	11.51 	10.85 	10.66 	0.70 	0.62 	0.62 	14 	n 
NGC 6453 	V2 	17:50:53.0 	-34:35:09 	27.21 	53016.521 	11.35 	10.75 	10.59 	0.76 	0.67 	0.69 	14 	n 
NGC 6569 	V16 	18:13:37.7 	-31:49:13 	87.5 	53081.285 	10.56 	9.74 	9.45 	0.69 	0.62 	0.53 	34* 	 
NGC 6626 	V4 	18:24:30.1 	-24:51:37 	13.458 	53005.162 	10.78 	10.18 	10.01 	0.68 	0.52 	0.49 	24* 	 
NGC 6626 	V17 	18:24:35.8 	-24:53:16 	48 	53028.399 	9.55 	8.95 	8.75 	0.84 	0.84 	0.84 	24 	 
NGC 6749 	V1 	19:05:20.0 	+01:55:57 	4.481 	53003.020 	13.38 	12.62 	12.34 	0.38 	0.44 	0.44 	16 	n 
NGC 6779 	V1 	19:16:39.3 	+30:12:17 	1.51 	53000.190 	13.99 	13.66 	13.57 	0.40 	0.35 	0.44 	9* 	 
NGC 6779 	V6 	19:16:35.8 	+30:11:39 	45 	53033.934 	10.86 	10.37 	10.21 	0.86 	0.75 	0.75 	9 	 
NGC 7078 	V86 	21:29:59.2 	+12:10:07 	16.8 	53009.520 	11.70 	11.32 	11.19 	0.84 	0.83 	0.74 	13 	 
NGC 7089 	V1 	21:33:28.5 	-00:47:55 	15.568 	53008.360 	11.93 	11.54 	11.45 	0.76 	0.73 	0.70 	18 	 
NGC 7089 	V5 	21:33:23.8 	-00:49:13 	17.555 	53000.597 	11.80 	11.40 	11.31 	0.75 	0.71 	0.71 	18 	 
NGC 7089 	V6 	21:33:27.5 	-00:50:00 	19.36 	53005.973 	11.72 	11.33 	11.25 	0.86 	0.79 	0.80 	18 	 
NGC 7089 	V11 	21:33:32.4 	-00:49:06 	33.4 	53024.763 	10.87 	10.53 	10.44 	0.63 	0.58 	0.62 	18 
