JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459320.60,13.2,,,Vis.,FRIB,,130,136,X26468ACE,,,,Z,,,,SN 2021hiz,AAVSO,STD,,,,
2459320.70878,13.172,0.102,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.44,Z,,12.952,,SN 2021HIZ,AAVSO,STD,,,,
2459320.70887,13.269,0.053,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210416,,1,,Z,,12.976,,SN 2021HIZ,AAVSO,STD,,,,
2459320.7500,13.49,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459321.40823,13.146,0.0040,,CV,SUQ,,ENSEMBLE,000-BNY-353,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.521,Z,,14.418,,SN 2021HIZ,AAVSO,STD,,,,
2459321.42059,13.216,0.01,,V,EHEA,,ENSEMBLE,000-BNY-354,X26453BTO,STANDARD MAG:  K = 15.000,0,1.420,Z,,19.861,,SN 2021HIZ,AAVSO,STD,,,,
2459321.4319,13.1,,,Vis.,MUY,Y,130,136,X26453EQN,,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459321.4375,13.0,,,Vis.,OJR,,USNOA2 090007149031 ,,SKY-MAP.ORG ,,,,Z,,,,SN 2021HIZ,,STD,,,,
2459321.45172,13.080,0.028,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.12,Z,,12.952,,SN 2021HIZ,AAVSO,STD,,,,
2459321.45188,13.162,0.02,,B,EHEA,,ENSEMBLE,000-BNY-354,X26453BTO,STANDARD MAG:  K = 15.613,0,1.441,Z,,21.346,,SN 2021HIZ,AAVSO,STD,,,,
2459321.50350,13.243,0.027,,V,SDI,,ensembled,,X26453DHQ,Standard Deviation from 10 measures 0.027,0,1.514,Z,,,,SN 2021hiz,BAA-VSS,STD,,,,
2459321.67,13.2,,,Vis.,FRIB,,130,136,X26468ACE,,,,Z,,,,SN 2021hiz,AAVSO,STD,,,,
2459322.4299,13.1,,,Vis.,MUY,Y,130,136,X26453EQN,,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459322.43958,12.8,,,Vis.,OJR,,129,,SKY-MAP.ORG - USNO 0,,,,Z,,,,SN 2021HIZ,,STD,,,,
2459322.46561,13.167,0.028,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.09,Z,,12.913,,SN 2021HIZ,AAVSO,STD,,,,
2459322.61508,13.146,0.020,,TG,TYS,,ENSEMBLE,123,X26453SH,,0,1.33,Z,,12.339,,SN 2021HIZ,AAVSO,STD,,,,
2459322.67,13.2,,,Vis.,FRIB,,130,136,X26468ACE,At or near max? Steady over the last 3 days.,,,Z,,,,SN 2021hiz,AAVSO,STD,,,,
2459323.34515,13.158,0.009,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.400,Z,-11.879,12.983,2459323.34515,SN 2021HIZ,AAVSO,STD,,,,
2459323.50067,12.955,0.015,,V,GKEA,,ENSEMBLE,000-BNY-351,AAVSO X26458N,8 X 60S SUBS STACKED,0,,Z,,13.825,,SN 2021HIZ,AAVSO,STD,,,,
2459323.52922,13.109,0.029,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.10,Z,,13.005,,SN 2021HIZ,AAVSO,STD,,,,
2459323.60814,13.054,0.054,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.34,Z,,12.951,,SN 2021HIZ,AAVSO,STD,,,,
2459324.3625,13.2,,,CV,WKL,,,,X26454ER,,0,,Z,13.0,13.6,,SN 2021hiz,BAV,STD,,,,
2459324.39809,13.208,0.011,,V,LMN,,ENSEMBLE,130,X26468BBY,C11ATIK383,0,1.505,Z,,12.966,,SN 2021HIZ,SAAF,STD,,,,
2459324.40019,13.378,0.016,,B,LMN,,ENSEMBLE,130,X26469AC,C11ATIK383,0,1.504,Z,,13.507,,SN 2021HIZ,SAAF,STD,,,,
2459324.51770,13.075,0.079,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.09,Z,,12.950,,SN 2021HIZ,AAVSO,STD,,,,
2459324.56895,13.201,0.121,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210420,,1,,Z,,13.020,,SN 2021HIZ,AAVSO,STD,,,,
2459324.56984,13.368,0.115,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210420,,1,,Z,,13.470,,SN 2021HIZ,AAVSO,STD,,,,
2459324.59514,13.0,,,Vis.,ALRB,,128,130,x26455o,VIS DIG PHOTO IMG 7984 BY ALRB,,,Z,,,,sn 2021hiz,,STD,,,,
2459324.6007,13.24,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459324.60632,13.213,0.072,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210420,,1,,Z,,12.928,,SN 2021HIZ,AAVSO,STD,,,,
2459324.60679,13.411,0.058,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210420,,1,,Z,,13.594,,SN 2021HIZ,AAVSO,STD,,,,
2459324.60811,13.164,0.029,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,2.40,Z,,12.950,,SN 2021HIZ,AAVSO,STD,,,,
2459324.66580,13.375,0.061,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210420,,1,,Z,,13.534,,SN 2021HIZ,AAVSO,STD,,,,
2459325.059,13.4,,,Vis.,BNK,,129,136,X26441UX,,,,Z,,,,SN 2021HIZ,AAVSO,STD,,,,
2459325.34931,13.25,,,CV,WKL,,,,X26454ER,,0,,Z,13.0,13.6,,SN 2021hiz,BAV,STD,,,,
2459325.36359,13.230,0.0038,,CV,SUQ,,ENSEMBLE,000-BNY-349,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.688,Z,,12.934,,SN 2021HIZ,AAVSO,STD,,,,
2459325.47779,13.295,0.009,,V,EHEA,,ENSEMBLE,000-BNY-354,X26453BTO,STANDARD MAG:  K = 15.000 | NO ELABORATE HOST GX SUBTRACTION,0,1.534,Z,,20.031,,SN 2021HIZ,AAVSO,STD,,,,
2459325.530,13.202,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.0,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459325.5313,13.25,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459325.53167,13.175,0.039,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.12,Z,,12.895,,SN 2021HIZ,AAVSO,STD,,,,
2459326.34167,13.35,,,CV,WKL,,,,X26454ER,,0,,Z,13.6,13.0,,SN 2021hiz,BAV,STD,,,,
2459326.36237,13.266,0.0049,,CV,SUQ,,ENSEMBLE,000-BNY-349,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.673,Z,,12.923,,SN 2021HIZ,AAVSO,STD,,,,
2459326.555,13.457,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.0,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459326.55632,13.266,0.084,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.19,Z,,12.955,,SN 2021HIZ,AAVSO,STD,,,,
2459326.55976,13.272,0.037,,CV,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210422,,0,,Z,,13.037,,SN 2021HIZ,AAVSO,STD,,,,
2459326.56234,13.304,0.101,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210422,,1,,Z,,13.038,,SN 2021HIZ,AAVSO,STD,,,,
2459326.56323,13.461,0.067,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210422,,1,,Z,,13.455,,SN 2021HIZ,AAVSO,STD,,,,
2459326.58958,13.2,,,Vis.,ACN,,130,136,X26467DH,VISDIG; PHOTO ALRB 7994,,,Z,,,,SN 2021hiz,REA,STD,,,,
2459327.33333,13.3,,,CV,WKL,,,,X26454ER,,0,,Z,13.6,13.0,,SN 2021hiz,BAV,STD,,,,
2459327.47809,13.124,0.018,,V,GKEA,,ENSEMBLE,000-BNY-350,AAVSO X26458N,8 X 60S SUBS STACKED,0,,Z,,13.578,,SN 2021HIZ,AAVSO,STD,,,,
2459327.49916,13.345,0.008,,V,SDI,,000-BNY-349,000-BNY-353,X26453DHQ,BRT J54,0,1.081,Z,12.949,14.606,,SN 2021HIZ,BAA-VSS,STD,,,,
2459327.618,13.203,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.0,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459327.61804,13.220,0.021,,CV,TYS,,ENSEMBLE,130,X26453SH,NON-STANDARD FILTER: C,0,2.40,Z,,12.951,,SN 2021HIZ,AAVSO,STD,,,,
2459327.6181,13.23,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459327.61934,13.504,0.137,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.59,Z,,12.898,,SN 2021HIZ,AAVSO,STD,,,,
2459328.34583,13.35,,,CV,WKL,B,,,X26454ER,,0,,Z,13.0,13.6,,SN 2021hiz,BAV,STD,,,,
2459330.34375,13.45,,,CV,WKL,B,,,X26454ER,,0,,Z,13.6,,,SN 2021hiz,BAV,STD,,,,
2459330.38057,13.543,0.0044,,CV,SUQ,,ENSEMBLE,000-BNY-349,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.532,Z,,12.936,,SN 2021HIZ,AAVSO,STD,,,,
2459330.46333,13.441,0.018,,V,LMN,,ENSEMBLE,130,X26493BPW,C11ATIK383,0,1.664,Z,,12.950,,SN 2021HIZ,SAAF,STD,,,,
2459331.34583,13.5,,,CV,WKL,B,,,X26454ER,,0,,Z,13.6,,,SN 2021hiz,BAV,STD,,,,
2459331.37920,13.541,0.0058,,CV,SUQ,,ENSEMBLE,000-BNY-349,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.526,Z,,12.902,,SN 2021HIZ,AAVSO,STD,,,,
2459331.45122,13.497,0.022,,V,LMN,,ENSEMBLE,130,X26493BPW,C11ATIK383,0,1.625,Z,,12.964,,SN 2021HIZ,SAAF,STD,,,,
2459331.45266,13.871,0.073,,B,LMN,,ENSEMBLE,130,X26493BPW,C11ATIK383,0,1.630,Z,,13.552,,SN 2021HIZ,SAAF,STD,,,,
2459331.6528,13.62,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459331.65597,13.521,0.019,,CV,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210428,,0,,Z,,12.984,,SN 2021HIZ,AAVSO,STD,,,,
2459331.65725,13.363,0.061,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210428,,1,,Z,,12.905,,SN 2021HIZ,AAVSO,STD,,,,
2459331.65889,13.995,0.100,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210428,,1,,Z,,13.531,,SN 2021HIZ,AAVSO,STD,,,,
2459331.66025,13.457,0.028,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.39,Z,,12.915,,SN 2021HIZ,AAVSO,STD,,,,
2459332.34097,13.7,,,CV,WKL,B,,,X26454ER,,0,,Z,13.6,14.5,,SN 2021hiz,BAV,STD,,,,
2459332.41804,13.629,0.0061,,CV,SUQ,,ENSEMBLE,000-BNY-349,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.425,Z,,12.930,,SN 2021HIZ,AAVSO,STD,,,,
2459332.6806,13.56,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459332.68407,13.538,0.040,,R,TYS,,ENSEMBLE,130,X26453SH,,0,1.48,Z,,12.575,,SN 2021HIZ,AAVSO,STD,,,,
2459332.68456,13.392,0.025,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.48,Z,,12.952,,SN 2021HIZ,AAVSO,STD,,,,
2459332.71331,13.561,0.040,,CV,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210428,,0,,Z,,12.947,,SN 2021HIZ,AAVSO,STD,,,,
2459332.71456,13.368,0.042,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210428,,1,,Z,,12.896,,SN 2021HIZ,AAVSO,STD,,,,
2459332.71625,14.097,0.101,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210428,,1,,Z,,13.534,,SN 2021HIZ,AAVSO,STD,,,,
2459333.46316,13.426,0.018,,V,GKEA,,ENSEMBLE,000-BNY-350,AAVSO X26458N,7 X 120S SUBS STACKED,0,,Z,,13.622,,SN 2021HIZ,AAVSO,STD,,,,
2459333.6563,13.72,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459333.65765,13.660,0.059,,CV,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210429,,0,,Z,,12.986,,SN 2021HIZ,AAVSO,STD,,,,
2459333.65887,13.434,0.082,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210429,,1,,Z,,12.878,,SN 2021HIZ,AAVSO,STD,,,,
2459333.65934,14.098,0.094,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210429,,1,,Z,,13.395,,SN 2021HIZ,AAVSO,STD,,,,
2459333.66367,13.581,0.026,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.42,Z,,12.941,,SN 2021HIZ,AAVSO,STD,,,,
2459334.35625,13.8,,,CV,WKL,,,,X26454ER,,0,,Z,13.6,,,SN 2021hiz,BAV,STD,,,,
2459334.4410,13.6,,,Vis.,MUY,Y,130,136,X26453EQN,ACTIVE,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459334.63,13.6,,,Vis.,FRIB,V,130,136,X26468ACE,Dropping rapidly.,,,Z,,,,SN 2021hiz,AAVSO,STD,,,,
2459334.65773,13.675,0.028,,CV,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210501,NON-STANDARD FILTER: LUMINANCE (ASTRODON TRU-BALANCE GENERATION II E-SERIES),0,,Z,,12.930,,SN 2021HIZ,AAVSO,STD,,,,
2459334.65896,13.495,0.055,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210501,,1,,Z,,12.869,,SN 2021HIZ,AAVSO,STD,,,,
2459334.66023,13.748,0.039,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.40,Z,,12.931,,SN 2021HIZ,AAVSO,STD,,,,
2459334.66057,14.278,0.115,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210501,,1,,Z,,13.632,,SN 2021HIZ,AAVSO,STD,,,,
2459335.4382,13.7,,,Vis.,MUY,Y,130,136,X26453EQN,ACTIVE,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459336.27778,13.5,0.1,,CV,SYRA,,ensemble,,VSP,,0,,Z,,,,SN 2021HIZ,AAVSO,STD,,,,
2459336.42766,13.454,0.035,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.09,Z,,13.008,,SN 2021HIZ,AAVSO,STD,,,,
2459337.34306,14.0,,,CV,WKL,,,,X26454ER,,0,,Z,13.6,14.5,,SN 2021hiz,BAV,STD,,,,
2459338.073,13.6,,,Vis.,BNK,,136,,X26441UX,,,,Z,,,,SN 2021HIZ,AAVSO,STD,,,,
2459338.3090,13.8,,,Vis.,BOZ,,136,145,210421,,,,Z,,,,SN 2021HIZ,MCSE,STD,,,,
2459338.34097,14.1,,,CV,WKL,,,,X26454ER,,0,,Z,14.5,13.6,,SN 2021hiz,BAV,STD,,,,
2459338.378,13.825,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.00,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459338.37943,13.839,0.042,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.16,Z,,12.946,,SN 2021HIZ,AAVSO,STD,,,,
2459339.41080,13.941,0.013,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.189,Z,-11.784,12.978,2459339.41080,SN 2021HIZ,AAVSO,STD,,,,
2459339.42917,14.1,,,Vis.,OJR,,140,,SKY CHART.ORG - USNO,,,,Z,,,,SN 2021HIZ,,STD,,,,
2459339.4389,13.9,,,Vis.,MUY,Y,138,0,X26453EQN,ACTIVE,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
